,target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
146669,1,0.460285361,58,2,409.0,,7,0,0,2,0.0
36192,0,0.7013759,43,0,0.55051963,6927.0,9,0,2,0,1.0
143741,0,0.018146675,54,0,0.124515056,10825.0,13,0,1,0,1.0
34003,1,0.881839898,41,0,0.525756824,10074.0,7,0,2,0,3.0
82276,0,0.50406409,49,0,0.12893147300000002,4800.0,4,0,0,0,0.0
43686,0,0.017943466,63,0,2.21446384,400.0,19,0,1,0,0.0
147338,0,0.12175440400000001,50,0,0.466948385,6625.0,13,1,2,0,1.0
76355,1,0.775317812,42,2,0.43341489,5721.0,7,3,2,0,2.0
16102,1,0.776743229,50,0,0.7957028740000001,10890.0,17,0,4,0,0.0
22763,0,0.034684597000000005,72,0,0.268743914,4107.0,9,0,1,0,0.0
79331,0,0.16402858,54,0,0.061492313,8000.0,4,0,0,0,1.0
70787,0,0.063555696,53,0,0.41564674799999995,8333.0,6,0,3,0,1.0
45913,1,0.9999998999999999,34,0,0.015546918,1800.0,0,0,0,0,0.0
69186,0,0.043811130999999996,53,0,0.214302856,8333.0,9,0,2,0,0.0
97693,0,0.039538668,50,0,0.017043905,7333.0,7,0,0,0,1.0
83307,0,0.9999998999999999,42,1,0.231108498,3400.0,5,0,0,1,2.0
133074,1,0.925170068,41,0,0.022661631,4500.0,1,0,0,1,3.0
149124,1,0.989933342,36,1,0.40868406,5250.0,15,0,1,0,2.0
16264,0,0.18172029,60,0,3450.0,,22,0,2,0,0.0
19144,1,1.191404298,48,2,0.707421875,5119.0,9,1,2,6,1.0
61321,0,0.074962947,51,0,0.46239306700000005,9000.0,4,0,1,0,2.0
148870,0,0.7560975609999999,56,0,0.12679369599999998,4250.0,7,0,0,0,0.0
107792,1,0.66505881,35,1,0.945120875,5666.0,12,0,2,1,3.0
149738,1,0.6119938189999999,51,0,0.658103769,5916.0,14,0,2,0,3.0
36255,0,0.184332734,73,0,0.102951764,4166.0,5,0,0,0,1.0
80032,0,0.060579667999999996,58,0,121.0,,5,0,0,0,2.0
134114,0,0.020256688000000002,49,0,0.25815711399999997,10450.0,6,0,1,0,0.0
7325,1,0.47598000100000004,39,1,0.521492836,3000.0,3,0,2,0,3.0
104566,0,0.032127918,80,0,38.0,,6,0,0,0,0.0
82515,0,0.0,48,0,0.0,3962.0,1,0,0,0,2.0
78377,0,0.581371478,32,0,0.43624525200000003,1842.0,7,0,0,0,0.0
66227,1,0.9999998999999999,40,0,0.004218090999999999,6400.0,1,1,0,0,3.0
82338,1,0.87446505,24,0,0.241723923,1600.0,2,2,0,0,0.0
37956,1,0.9999998999999999,52,0,0.005759539,4166.0,0,1,0,0,0.0
110812,0,0.133747441,65,0,0.227377262,10000.0,13,0,0,0,1.0
57978,1,0.0,54,1,0.205975768,8500.0,15,0,1,0,1.0
25493,1,0.9266887909999999,46,0,0.600690165,4056.0,9,0,1,0,2.0
117106,0,0.08699456300000001,52,0,0.627236581,6035.0,8,0,2,0,1.0
65038,1,0.0,33,1,0.096725819,4000.0,8,0,0,1,0.0
21137,0,0.96590341,52,0,0.559622019,6666.0,8,0,2,0,3.0
31960,1,0.200482121,37,0,1.053208138,3833.0,12,0,2,0,2.0
113364,1,0.9221556890000001,46,0,0.004331889,3000.0,1,0,0,0,2.0
112172,0,0.114481444,60,1,0.612348373,15580.0,25,0,4,0,0.0
83184,0,0.9999998999999999,25,0,0.20616409800000002,2400.0,4,0,0,0,0.0
107293,0,0.370530175,43,0,0.522035438,2200.0,7,0,0,0,0.0
23048,1,0.9400123690000001,56,2,0.239510975,3598.0,5,0,0,2,0.0
113007,1,0.9999998999999999,31,0,2.263435701,2083.0,6,1,2,0,0.0
7655,1,0.592001702,34,2,0.510686164,5333.0,6,1,1,0,0.0
11533,0,1.028394321,36,1,0.882121807,2035.0,7,0,1,0,0.0
65485,0,0.044788178,80,0,0.312478574,5833.0,22,0,1,0,0.0
23415,1,0.378180636,49,2,0.429494411,9750.0,18,1,2,0,2.0
9520,1,0.68647443,64,0,4653.0,,8,1,2,1,
106910,0,0.21097533300000001,41,0,0.255652394,7916.0,7,0,2,0,2.0
34991,1,0.9670740329999999,54,0,709.0,,5,2,0,0,0.0
38617,1,0.9999998999999999,38,1,0.164785553,3100.0,1,0,0,0,4.0
11762,1,1.419301165,28,0,0.159868026,3333.0,3,1,0,3,1.0
110547,0,0.082412017,57,1,0.291763073,4321.0,9,0,1,0,0.0
2483,0,0.677963523,65,1,0.938905859,3600.0,14,0,1,0,1.0
72874,0,0.059497025,81,0,0.00132908,26333.0,2,0,0,0,0.0
130052,0,0.026465027999999998,63,0,0.505030181,2484.0,8,0,2,0,0.0
37332,1,0.7250252709999999,54,1,0.742984205,6520.0,10,0,2,0,1.0
78212,0,0.524745876,34,1,0.360428646,3825.0,4,0,1,0,2.0
87338,0,0.98640136,48,0,0.202872205,5500.0,3,0,0,0,1.0
77599,0,0.023477125,37,0,0.2753711,3300.0,16,0,0,0,2.0
18026,0,0.8743064,33,1,0.40538488100000003,14484.0,11,0,2,0,0.0
3575,0,0.947817059,70,0,4471.0,,10,0,1,0,0.0
2372,0,0.9999998999999999,89,0,0.0,6000.0,2,0,0,0,0.0
21233,0,0.7138019590000001,50,0,7483.0,,19,0,2,0,1.0
42775,0,0.071229452,59,0,0.706850926,3400.0,13,0,2,0,1.0
60705,0,0.009059181999999999,29,0,0.137980085,5623.0,6,0,1,0,2.0
35785,1,0.020616011,70,1,0.129865772,2979.0,6,0,0,0,0.0
58807,1,0.0,54,1,0.481802426,7500.0,5,0,1,0,0.0
23567,0,0.046510326,45,0,0.616730545,6000.0,11,0,3,0,0.0
35174,1,0.031343092,71,0,19.73078365,8000.0,16,0,1,0,0.0
80798,0,0.00889911,61,0,2.0,,2,0,0,0,0.0
149537,0,0.000716397,65,0,0.518799711,2765.0,6,0,2,0,0.0
65701,0,0.7714145859999999,51,0,0.124975005,5000.0,6,0,0,0,0.0
52004,1,0.789767442,36,0,0.387479763,3705.0,8,2,0,1,0.0
116103,0,0.309993336,65,1,0.457654235,10000.0,17,0,2,0,0.0
26108,0,0.75739064,66,0,0.44022391,2500.0,3,0,0,0,1.0
42508,1,0.9999998999999999,40,4,0.236705318,2500.0,6,0,0,1,2.0
110952,1,0.055394692999999995,65,3,0.87958863,7000.0,14,0,5,0,0.0
70523,1,0.965654555,46,1,0.37082270799999995,7450.0,10,1,1,1,2.0
38933,1,0.0,56,3,2956.0,,5,0,1,0,0.0
62137,0,0.19527228600000002,64,0,204.0,,2,0,0,0,0.0
142275,0,0.09284487400000001,34,2,0.648957441,3500.0,12,0,2,0,2.0
10312,1,0.41845854299999996,42,0,2.644355644,1000.0,7,0,1,0,1.0
114314,0,0.0,75,0,0.322677323,1000.0,6,0,0,0,0.0
103833,0,0.006321113000000001,48,1,0.465133717,4000.0,10,0,1,0,0.0
63467,1,0.495367295,40,0,0.9824636440000001,2337.0,18,0,1,0,3.0
13215,0,0.48121861,62,0,0.32444782899999997,5251.0,10,0,1,0,1.0
122738,0,0.082904285,48,0,0.29890473,16342.0,10,0,3,0,2.0
5354,1,0.043153292999999995,65,0,0.193548387,14166.0,16,0,2,0,0.0
47088,0,0.027896662000000003,62,0,0.3326814,5112.0,16,0,1,0,0.0
77598,1,0.8374320479999999,45,4,0.823696051,6000.0,11,0,2,2,0.0
109472,1,0.918216357,32,0,330.0,,2,1,0,1,0.0
53648,1,1.06185567,61,1,2170.0,,9,0,2,1,0.0
28191,0,0.025723251000000003,82,0,0.00419916,5000.0,3,0,0,0,0.0
139610,1,0.03349665,34,0,0.341648374,5010.0,6,0,1,0,1.0
111379,1,0.9999998999999999,42,0,0.00931677,7083.0,2,1,0,0,0.0
13660,1,0.949620152,50,0,0.391316767,3500.0,6,0,0,0,1.0
18588,1,0.930761008,48,2,0.48899314299999996,11083.0,18,0,2,0,1.0
89733,0,0.673665792,45,0,1.186631016,1869.0,7,0,1,0,0.0
57089,1,0.960914073,40,0,0.467029973,5504.0,7,0,1,0,0.0
43988,0,0.261802315,52,0,0.19365262600000002,8664.0,6,0,2,0,2.0
97178,0,0.593640636,50,0,0.33966015899999996,5531.0,7,0,1,0,2.0
32037,1,1.036422067,34,1,0.598782873,4600.0,6,3,1,2,0.0
5584,1,0.31747795300000003,45,2,0.069594035,7241.0,11,0,0,0,0.0
10680,0,0.024610402000000003,76,0,0.9991818370000001,4888.0,8,0,3,0,1.0
3602,1,0.7509038,30,1,0.120606155,6400.0,6,1,0,0,0.0
70476,1,0.28009477,27,0,0.162104261,4200.0,11,0,0,1,0.0
149401,0,0.020325148,59,0,0.331554452,16114.0,13,0,3,0,0.0
149142,1,0.9999998999999999,41,3,1.1163534590000002,2500.0,6,0,1,0,1.0
77031,1,0.152836788,36,1,2.516038717,12500.0,28,0,15,0,0.0
59186,0,0.203604373,76,0,0.35479876200000005,8074.0,13,0,2,0,0.0
139020,1,0.955780416,50,1,0.19321472899999997,7250.0,16,0,0,0,0.0
28531,0,0.207871102,55,0,0.288258261,10500.0,23,0,2,0,0.0
40276,0,0.0,57,0,0.36743438700000003,5600.0,8,0,1,0,1.0
79378,1,0.0,35,0,0.295573536,2100.0,7,4,0,0,0.0
944,1,0.913773615,55,2,0.881655429,4300.0,17,0,2,0,1.0
116332,0,0.08025916599999999,68,0,0.203198495,4251.0,7,0,1,0,0.0
25908,1,0.9999998999999999,49,1,0.034975279,5460.0,3,0,0,0,3.0
136510,0,0.023130632,48,0,2165.0,0.0,16,0,2,0,1.0
10349,0,0.109578084,59,0,1736.0,,9,0,2,0,0.0
8854,1,0.150407085,45,0,0.13027179,3200.0,3,0,0,0,0.0
89645,1,0.9999998999999999,40,1,0.011248804,42848.0,1,0,0,0,0.0
90909,1,0.9999998999999999,54,1,0.317185698,2600.0,6,1,1,0,0.0
73672,0,0.015101733,69,0,22.0,,4,0,0,0,
52919,1,0.869707797,56,2,0.484634613,6800.0,10,1,1,2,2.0
55937,1,0.9999998999999999,36,1,0.124399154,5200.0,2,2,0,1,0.0
95315,0,0.06694700099999999,34,2,0.102916744,10833.0,5,0,1,0,0.0
110478,0,0.0,36,0,0.06846473,3855.0,5,0,0,0,1.0
22328,0,0.128624896,79,0,0.215196201,4000.0,6,0,2,0,0.0
31850,1,0.990001136,52,0,0.461638774,4600.0,5,1,0,0,1.0
98589,1,0.7244132679999999,32,0,2857.0,,9,0,1,0,2.0
3525,0,0.16741250900000001,49,1,0.076581247,6750.0,10,0,0,0,0.0
18636,1,0.9999998999999999,37,1,0.0,3831.0,0,1,0,0,0.0
106537,0,0.50514609,36,0,310.0,,1,0,0,0,0.0
106104,0,0.13487887,71,0,0.227971504,2666.0,29,0,0,0,0.0
108322,0,0.25116392,47,0,0.266678786,5500.0,9,0,2,0,2.0
54230,0,0.033497566,49,0,0.387889825,4392.0,10,0,1,0,1.0
58852,1,0.269248215,54,0,1.485351465,10000.0,13,0,4,0,0.0
55469,0,0.013486965,57,0,0.003808718,16540.0,11,0,0,0,0.0
144437,0,0.0,25,0,0.143942423,2500.0,6,0,0,0,0.0
87851,1,0.858621295,43,0,204.0,,1,0,0,1,3.0
28415,1,0.17499675899999997,47,0,0.437734277,4801.0,12,0,1,0,0.0
122409,1,1.128589263,36,1,0.23946679399999998,4200.0,6,2,0,0,2.0
96178,0,0.502994012,41,1,4628.0,,6,0,2,0,0.0
32037,1,1.036422067,34,1,0.598782873,4600.0,6,3,1,2,0.0
132320,0,0.094493884,65,0,0.204127967,4844.0,4,0,1,0,3.0
107792,1,0.66505881,35,1,0.945120875,5666.0,12,0,2,1,3.0
50428,1,0.659990718,49,1,0.337325995,9266.0,8,0,1,0,5.0
97580,1,1.024820542,36,0,0.549725275,3639.0,9,1,0,0,1.0
138023,0,0.0,72,0,3368.0,,6,0,1,0,0.0
95067,1,0.9999998999999999,46,0,0.0,8500.0,0,0,0,0,3.0
51678,1,1.053814311,61,3,0.48290804,6230.0,12,2,2,1,0.0
61292,1,0.810750777,26,0,0.055737075,5202.0,3,0,0,1,1.0
146449,0,0.0,31,0,0.094867807,4500.0,10,0,0,0,0.0
30628,0,0.134254553,48,0,0.646844384,4388.0,9,0,3,0,3.0
116907,0,5649.0,63,0,0.287246114,17625.0,6,0,1,0,1.0
17331,0,0.049677852,73,0,51.0,,5,0,0,0,0.0
46398,0,0.785204227,64,0,0.25224925,3000.0,6,0,0,0,0.0
26891,1,0.03685028,32,0,0.506070561,7000.0,7,0,2,0,0.0
27495,0,0.040549739,78,0,83.0,,4,0,0,0,0.0
107955,0,0.04816291599999999,43,0,0.468470871,7500.0,11,0,2,0,2.0
126850,0,0.610959269,46,0,0.292151809,11250.0,4,0,3,0,2.0
5857,1,0.064903509,33,2,0.339605961,7917.0,11,0,2,0,1.0
95740,0,0.9999998999999999,28,0,0.292851653,1300.0,2,0,0,0,1.0
20127,0,0.376335159,58,0,0.44032214299999994,11050.0,25,0,0,0,0.0
113985,0,0.0,60,0,0.418358889,4825.0,15,0,2,0,1.0
56894,0,0.0,55,1,0.43192801200000003,6000.0,13,0,2,0,0.0
107310,1,0.5283361560000001,45,0,0.431625904,6500.0,12,0,2,0,3.0
74767,1,0.9999998999999999,44,2,0.500166611,3000.0,3,1,1,2,3.0
21669,0,0.197787771,41,0,0.48452220700000004,5200.0,8,0,1,0,3.0
10134,0,0.002332194,64,0,2273.0,,5,0,1,0,0.0
98198,0,0.0031578,47,0,1128.0,,6,0,1,0,2.0
118685,0,0.043231692,71,0,45.0,,3,0,0,0,
126705,1,0.565371222,41,2,0.8337921540000001,2905.0,10,0,1,0,2.0
84535,1,0.51655503,55,1,0.363918034,14200.0,17,0,2,0,0.0
141104,1,0.599975053,59,2,0.41209044799999994,6500.0,18,2,0,0,0.0
67957,1,0.99620076,23,0,0.077961019,2000.0,3,0,0,0,0.0
137650,1,0.9598581970000001,53,1,0.5761154860000001,5333.0,15,0,1,0,0.0
26803,0,0.312808368,29,0,0.287356322,2000.0,6,0,0,0,0.0
97748,0,0.20572811600000002,40,1,1327.0,,4,0,1,0,
84583,0,0.48176107700000004,32,0,0.185846283,14285.0,12,0,2,0,1.0
89680,0,0.12416851400000001,46,0,0.7892932490000001,3791.0,5,0,2,0,0.0
87378,1,1.302828619,42,2,0.146475587,6000.0,4,2,0,0,5.0
109695,1,1.073202332,43,3,0.39907563799999995,11250.0,10,1,1,1,3.0
43716,0,0.49175141200000005,38,2,0.30128974199999997,6667.0,8,0,1,0,3.0
143121,1,0.950166113,49,0,0.098757952,3300.0,2,0,0,1,3.0
106637,0,0.589238131,41,0,0.421777898,3700.0,10,0,0,0,2.0
11515,0,0.055106619,47,0,1446.0,,6,0,1,0,0.0
126976,0,0.7622078990000001,62,0,0.329368576,13619.0,9,0,1,0,2.0
112332,1,0.9999998999999999,36,0,0.0,4000.0,0,1,0,0,0.0
95332,0,0.09799836699999999,34,0,0.232301416,8333.0,8,0,2,0,0.0
11189,0,0.054465797,41,1,0.318210224,8000.0,9,0,2,0,3.0
46076,0,0.178442123,49,0,0.726902963,6883.0,8,0,2,1,2.0
43455,1,0.7354705779999999,46,1,0.42529046200000004,3700.0,6,0,1,0,2.0
61690,1,1.072164948,33,2,373.0,,4,2,0,0,0.0
118778,0,0.005051171,62,0,0.10963627,5800.0,7,0,0,0,0.0
96705,1,0.0,63,3,0.8612072279999999,2600.0,5,1,2,0,0.0
53674,0,0.040130658,66,0,0.003085362,5833.0,10,0,0,0,1.0
105818,0,0.031355486,59,0,0.177194501,10400.0,16,0,2,0,0.0
73826,1,0.600593641,52,0,0.6784428440000001,4443.0,4,1,1,1,2.0
113217,0,0.186339996,49,0,0.332103679,10300.0,14,0,3,0,5.0
27856,0,0.16231390199999998,90,0,173.0,,5,0,0,0,0.0
116194,1,0.278117033,41,0,0.5163311660000001,12766.0,12,0,4,0,1.0
14742,0,0.007287472,67,0,7.0,,4,0,0,0,0.0
17160,0,0.361044617,61,0,0.34229712,8366.0,13,0,2,0,0.0
20328,1,0.941839331,34,0,165.0,,4,2,0,0,0.0
122873,1,0.65512087,41,0,0.146806258,8500.0,8,0,0,0,0.0
6075,1,0.9999998999999999,42,0,0.0,3660.0,0,0,0,0,1.0
43019,0,0.000122447,54,0,690.0,,11,0,1,0,
88735,1,0.694820345,57,1,1.858451291,1200.0,15,0,1,0,0.0
108096,1,0.9854460620000001,27,1,0.342783505,2715.0,4,0,0,0,0.0
86649,1,1.012164639,37,3,0.333666583,4000.0,11,0,0,0,2.0
19586,1,0.647633859,28,3,0.2,3294.0,9,0,0,1,0.0
109830,0,0.063049322,57,1,0.48210332100000003,5419.0,22,1,1,0,0.0
130507,0,0.575839444,53,0,2026.0,,5,0,1,0,1.0
33685,0,0.001234025,78,0,0.000476145,10500.0,13,0,0,0,0.0
79276,1,0.0,29,1,0.112221717,2200.0,5,0,0,0,0.0
28471,1,0.9999998999999999,30,98,0.0,2200.0,0,98,0,98,0.0
53224,1,0.9999998999999999,40,1,0.177264547,3333.0,2,3,0,0,0.0
147529,0,0.001454508,56,0,0.36125908,2064.0,5,0,2,0,0.0
122665,1,0.9999998999999999,37,1,3995.0,,4,0,1,2,0.0
64881,1,0.72533681,30,0,260.0,,8,0,0,0,2.0
92380,0,0.038826694,62,1,0.36012797399999996,5000.0,3,0,1,0,0.0
30956,0,0.017032766,67,0,15.0,,3,0,0,0,0.0
81318,0,0.554506319,62,0,0.609157602,3952.0,15,0,1,1,2.0
149351,1,0.9945623570000001,31,1,0.48691884700000004,6000.0,5,1,1,2,1.0
52795,1,0.40284016799999994,31,1,0.472853535,1583.0,6,0,0,1,0.0
106752,1,1.817553388,39,2,0.05061656900000001,22462.0,13,0,0,0,0.0
122405,1,0.012217697,53,1,0.13499325,6666.0,6,0,0,0,1.0
68012,1,0.585545303,53,0,0.158786168,4250.0,16,0,0,0,0.0
19074,1,1.1856287429999999,33,2,0.11108362199999999,4041.0,3,0,0,1,0.0
88825,0,0.018423396,42,0,0.000359809,22233.0,2,0,0,0,0.0
59332,0,0.044190899000000006,53,0,0.158482799,3400.0,13,0,1,0,1.0
48571,1,0.9999998999999999,31,4,1082.0,,4,4,0,1,0.0
140186,1,0.835450948,27,0,0.065036328,5642.0,6,0,0,1,1.0
39473,0,0.450899645,75,1,0.573674612,15900.0,14,0,2,0,1.0
110802,1,0.9999998999999999,34,0,0.0,2494.0,0,0,0,0,2.0
100564,1,0.927253922,28,3,0.095057034,1840.0,6,0,0,0,0.0
72133,1,0.776100382,45,2,1876.0,,10,0,1,2,2.0
71560,0,0.26283836899999996,70,0,0.5381870089999999,1400.0,4,0,1,0,0.0
102913,1,0.37019681299999996,22,0,318.0,,5,0,0,0,
52306,1,0.32644201,61,0,0.7005732570000001,7500.0,17,0,3,0,0.0
45123,0,0.956810631,50,0,0.00532978,1500.0,2,1,0,0,1.0
68659,0,0.295296839,51,1,0.058604650999999994,6449.0,5,0,0,0,0.0
100593,0,0.026162171,57,0,0.010712755,7000.0,11,0,0,0,2.0
34483,0,0.126730517,36,1,0.33153347699999997,8333.0,11,0,2,0,0.0
97735,1,0.9999998999999999,33,0,60.0,,1,2,0,0,0.0
118873,1,0.9999998999999999,51,0,0.06910907599999999,1200.0,3,1,0,0,0.0
114099,0,0.013555713,91,0,0.00435674,3901.0,11,0,0,0,0.0
23762,1,0.8684429640000001,62,0,0.17195701100000002,4000.0,4,0,0,0,0.0
89810,1,0.9999998999999999,36,1,0.0614364,3466.0,1,0,0,0,0.0
103251,0,0.0,62,0,0.15147433,6680.0,10,0,2,0,1.0
39054,1,0.296703297,32,2,0.262315943,5500.0,10,1,0,0,2.0
36694,1,0.536846315,30,0,0.38277144,7800.0,12,0,0,0,2.0
145633,1,0.938026549,41,1,0.614992282,14900.0,20,0,10,0,1.0
31238,0,0.0,29,0,0.656357388,3200.0,4,0,2,0,1.0
71244,1,0.9999998999999999,42,0,0.0,3000.0,0,0,0,0,2.0
137708,1,0.670036663,42,3,0.52087666,6250.0,8,2,1,2,1.0
34779,0,0.035983238,65,0,0.1306883,7888.0,22,0,2,0,0.0
126236,1,0.22100749600000003,61,0,0.618258353,3800.0,10,0,2,0,0.0
14676,1,1.247375628,35,2,0.7932592079999999,2877.0,5,1,2,2,0.0
29141,0,0.03559822,41,0,0.282937365,4166.0,3,0,1,0,0.0
23639,1,0.903946248,52,0,1.7061469269999998,2000.0,9,0,2,1,0.0
87247,1,0.524218866,48,4,0.415805236,10350.0,8,0,1,0,3.0
136794,0,0.018427035,51,0,1686.0,,6,0,2,0,0.0
3120,0,0.9999998999999999,34,0,0.019988895,1800.0,0,3,0,0,2.0
40417,0,0.060264658,43,0,0.128374325,5000.0,6,0,0,0,0.0
25877,0,0.493657995,45,0,0.06391324400000001,4333.0,10,0,0,0,0.0
54683,1,0.021443236,52,2,754.0,,14,0,1,3,
15577,0,0.05178201599999999,53,0,0.009349955,2245.0,3,0,0,0,0.0
79270,0,0.239958628,54,2,0.029987505,2400.0,3,0,0,0,1.0
141510,1,0.9999998999999999,66,3,36.0,,4,0,0,0,0.0
